Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Industry,Scale,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Indonesia,ID,IDN,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Construction,Units,16.666,18.461,21.055,20.166,22.782,25.798,26.203,24.896,24.684,23.977,20.577,20.495,19.601,18.931,20.091,21.455,25.677,28.421,28.122,26.492,24.622,21.211,22.514,24.133
Indonesia,ID,IDN,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Education,Units,0.465,0.56,0.605,0.582,0.544,0.669,0.709,0.733,0.68,0.747,0.874,0.737,0.719,0.752,0.691,0.676,0.813,0.901,0.842,0.797,0.618,0.551,0.584,0.598
Indonesia,ID,IDN,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Electrical equipment,Units,0.079,0.098,0.103,0.098,0.121,0.136,0.183,0.206,0.255,0.293,0.346,0.251,0.244,0.258,0.237,0.185,0.291,0.299,0.3,0.378,0.406,0.431,0.499,0.549
Indonesia,ID,IDN,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions","Electricity, gas, steam and air conditioning supply",Units,36.193,42.066,50.844,50.173,55.105,59.5,65.276,69.254,75.651,78.93,84.467,90.565,99.72,107.297,107.522,107.864,128.3,128.434,130.419,149.336,151.432,157.102,167.191,183.218
Indonesia,ID,IDN,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Fabricated metal products,Units,0.926,1.273,1.57,1.763,2.11,2.607,2.927,3.076,3.682,3.607,3.865,3.516,3.064,2.777,2.329,1.536,2.381,2.62,2.841,3.822,4.377,4.955,5.681,6.416
Indonesia,ID,IDN,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Financial and insurance activities,Units,0.264,0.317,0.36,0.364,0.417,0.552,0.546,0.475,0.443,0.483,0.464,0.402,0.371,0.35,0.322,0.26,0.325,0.398,0.38,0.362,0.284,0.283,0.277,0.212
Indonesia,ID,IDN,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Fishing and aquaculture,Units,1.461,1.449,1.533,1.049,1.013,0.66,0.661,1.12,1.144,1.4,1.719,1.217,1.101,0.845,0.436,0.596,0.697,0.736,0.613,0.611,0.588,0.533,0.565,0.688
Indonesia,ID,IDN,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions","Food products, beverages and tobacco",Units,2.906,2.854,2.982,2.704,3.032,2.671,2.93,2.975,3.221,4.7,5.013,4.104,4.036,4.123,3.421,2.741,3.628,4.327,4.021,4.055,4.326,3.322,3.475,3.801
Indonesia,ID,IDN,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",Human health and social work activities,Units,0.174,0.179,0.18,0.163,0.175,0.216,0.225,0.225,0.211,0.231,0.244,0.219,0.221,0.231,0.219,0.225,0.315,0.427,0.48,0.506,0.472,0.5,0.513,0.556
Indonesia,ID,IDN,CO2 emissions,Millions of Metric tons of CO2,"OECD (2021), OECD Inter-Country Input-Output Database, https://oe.cd/icio; OECD (2021), Trade in embodied CO₂ (TeCO2) Database, https://www.oecd.org/sti/ind/carbondioxideemissionsembodiedininternationaltrade.htm; Organisation for Economic Co-operation and Development (OECD). 2021. Input-Output Tables (IOTs) (https://oe.cd/i-o); Access Date: 04-03-2022",ECNC,CO2 Emissions,"Environment, Climate Change, Economic Activity, CO2 Emissions",IT and other information services,Units,0.164,0.167,0.18,0.161,0.172,0.204,0.187,0.174,0.17,0.175,0.194,0.125,0.111,0.103,0.09,0.072,0.124,0.165,0.184,0.203,0.2,0.21,0.201,0.21
